Journal ID,Journal Name,Publisher
S166722454,Education and Information Technologies,Springer
S2738008561,Education Sciences,MDPI
s110346167,British Journal of education technology,Wiley
s4210201537,International Journal of Educational Technology in Higher Education,Springer
s94618750,Teaching and Teacher Education,Elsevier
S2596526815,Frontiers in Education,Frontiers
s187318745,Educational Psychology Review,Springer
s162196882,Studies in Higher Education,Taylor & Francis
s114840262,Educational Technology Research and Development,Springer
s94908168,Higher Education,Springer
s42886211,Thinking Skills and Creativity,Elsevier
s130873806,System,Elsevier
s2737327475,International Journal of Instruction,Gate Association
s5743915,Journal of Computer Assisted Learning,Wiley
s43764696,Educational Research Review,Elsevier
s135394783,The International Journal of Management Education,Elsevier
s142259175,Assessment & Evaluation in Higher Education,Taylor & Francis
s133489141,International Journal of Inclusive Education,Taylor & Francis
s78398831,Learning and Instruction,Elsevier
s179605291,Language Teaching Research,SAGE
