"Journal.ID","Journal.Name","Publisher","oa_count_all","total_count_all","oa_count_recent","total_count_recent","oa_proportion_all","oa_proportion_recent","pre_2016_oa_count","pre_2016_total_count","pre_2016_prop","post_2016_oa_count","post_2016_total_count","post_2016_prop","pre_2019_oa_count","pre_2019_total_count","pre_2019_prop","post_2019_oa_count","post_2019_total_count","post_2019_prop","increase_2016","increase_2019"
"S166722454","Education and Information Technologies","Springer",1663,4940,1571,4088,0.3366,0.3843,92,852,0.107981220657277,1571,4088,0.384295499021526,174,1343,0.129560685033507,1489,3597,0.413956074506533,2.55891049093848,2.19507475897859
"S2738008561","Education Sciences","MDPI",7616,7616,7103,7103,1,1,512,512,1,7103,7103,1,1123,1123,1,6492,6492,1,0,0
"s110346167","British Journal of education technology","Wiley",747,4334,485,1035,0.1724,0.4686,262,3299,0.0794180054561988,485,1035,0.468599033816425,369,3628,0.101708930540243,378,706,0.535410764872521,4.90041302503964,4.26414703240517
"s4210201537","International Journal of Educational Technology in Higher Education","Springer",535,536,497,497,0.9981,1,38,39,0.974358974358974,497,497,1,164,165,0.993939393939394,371,371,1,0.0263157894736842,0.0060975609756098
"s94618750","Teaching and Teacher Education","Elsevier (Science Direct)",1039,4960,873,2354,0.2095,0.3709,166,2606,0.0636991557943208,873,2354,0.370858113848768,324,3288,0.0985401459854015,715,1672,0.427631578947368,4.82202557042102,3.33966861598441
"S2596526815","Frontiers in Education","Frontiers",5885,5886,5880,5880,0.9998,1,5,6,0.833333333333333,5880,5880,1,323,324,0.996913580246914,5562,5562,1,0.2,0.00309597523219816
"s187318745","Educational Psychology Review","Springer",405,1268,318,578,0.3194,0.5502,87,690,0.126086956521739,318,578,0.550173010380623,117,791,0.147914032869785,288,477,0.60377358490566,3.36344111681184,3.08192227060152
"s162196882","Studies in Higher Education","Taylor & Francis",743,3453,581,1486,0.2152,0.391,162,1967,0.0823589222165735,581,1486,0.390982503364738,320,2492,0.128410914927769,423,961,0.440166493236212,3.74729990196567,2.427796566077
"s114840262","Educational Technology Research and Development","Springer",488,2606,378,1036,0.1873,0.3649,110,1570,0.0700636942675159,378,1036,0.364864864864865,150,1790,0.0837988826815642,338,816,0.41421568627451,4.20761670761671,3.94297385620915
"s94908168","Higher Education","Springer",1026,4804,807,1470,0.2136,0.549,219,3334,0.0656868626274745,807,1470,0.548979591836735,355,3706,0.0957906098219104,671,1098,0.611111111111111,7.35752492777933,5.37965571205008
"s42886211","Thinking Skills and Creativity","Elsevier",395,1858,346,1445,0.2126,0.2394,49,413,0.11864406779661,346,1445,0.239446366782007,95,622,0.152733118971061,300,1236,0.242718446601942,1.01819080573406,0.589167092488503
"s130873806","System","Elsevier",450,5980,381,1949,0.0753,0.1955,68,4030,0.0168734491315136,381,1949,0.195484864032837,114,4619,0.0246806668109981,335,1360,0.246323529411765,10.5853529713579,8.98042440660475
"s2737327475","International Journal of Instruction","Gate Association",1896,1896,1831,1831,1,1,65,65,1,1831,1831,1,633,633,1,1263,1263,1,0,0
"s5743915","Journal of Computer Assisted Learning","Wiley",663,2304,522,1042,0.2878,0.501,141,1261,0.111816019032514,522,1042,0.500959692898273,203,1478,0.137347767253045,460,825,0.557575757575758,3.48021399109732,3.05959098372892
"s43764696","Educational Research Review","Elsevier",13,30,13,30,0.4333,0.4333,0,0,0,13,30,0.433333333333333,0,0,0,13,30,0.433333333333333,Inf,Inf
"s135394783","The International Journal of Management Education","Elsevier",331,1314,306,989,0.2519,0.3094,25,325,0.0769230769230769,306,989,0.309403437815976,49,499,0.0981963927855711,282,815,0.34601226993865,3.02224469160768,2.52367597345687
"s142259175","Assessment & Evaluation in Higher Education","Taylor & Francis",361,2307,266,768,0.1565,0.3464,95,1539,0.0617283950617284,266,768,0.346354166666667,153,1789,0.0855226383454444,208,518,0.401544401544402,4.6109375,3.69518257753552
"s133489141","International Journal of Inclusive Education","Taylor & Francis",355,2165,297,1160,0.164,0.256,58,1005,0.0577114427860696,297,1160,0.256034482758621,149,1429,0.104268719384185,206,736,0.279891304347826,3.43645957193817,1.68432667055734
"s78398831","Learning and Instruction","Elsevier",537,2131,426,982,0.252,0.4338,111,1149,0.0966057441253264,426,982,0.433808553971487,186,1426,0.130434782608696,351,705,0.497872340425532,3.49050476138053,2.81702127659574
"s179605291","Language Teaching Research","SAGE",253,1699,221,1015,0.1489,0.2177,32,684,0.0467836257309941,221,1015,0.217733990147783,64,852,0.0751173708920188,189,847,0.223140495867769,3.65406403940887,1.97055785123967
