"","text","section","header","div","p","s","id"
"1","https://github.com/mannyrayner/C-LARA/tree/main/education_sciences_2025/questionnaire_csvs","method","Statistical Treatment",27,1,4,"e74440d7f954400776412336f8d5fe90c3150849667be327ddecccb1f68cd86c.grobid.tei"
"2","https://github.com/WuJie1010/Facial-Expression-Recognition.Pytorch","method","Data Preprocessing of Facial Expressions",11,4,4,"b8ce9d20b27351b256433696a7c1ea39a613166e6fd5ab1d8dc611ad79250314.grobid.tei"
"3","https://github.com/anonymous-researcher-0/ChatGPT-as-a-stable-and-fair-tool-for-Automated-Essay-Scoring/blob/main/Section","method","3.",18,3,2,"4bfd48ba72f0762c1706ec13153ea24d889b1d471a9f971c3077c71b680e486b.grobid.tei"
"4","https://github.com/anonymous-researcher-0/ChatGPT-as-a-stable-and-fair-tool-for-Automated-Essay-Scoring/blob/main/Section","method","(b)",19,1,2,"4bfd48ba72f0762c1706ec13153ea24d889b1d471a9f971c3077c71b680e486b.grobid.tei"
"5","https://github.com/anonymous-researcher-0/ChatGPT-as-a-stable-and-fair-tool-for-Automated-Essay-Scoring/blob/main/Section","results","Verification With Original Question:",36,3,2,"4bfd48ba72f0762c1706ec13153ea24d889b1d471a9f971c3077c71b680e486b.grobid.tei"
"6","https://github.com/tqdm/tqdm","method","Model Run Time",8,1,1,"8c76fa1accf2bbf222460b3f7395ac237b7ac10baeeea347cc15af62b83664f6.grobid.tei"
"7","https://github.com/drchiarre/inferential-reading-skills-HS","availability","",18,1,1,"59df67dc8a1a1cbc2cf55baf137d4a994397ade03eb4c368f97389cc369ddf62.grobid.tei"
"8","https://github.com/ebbethke/ed-rainbow-plot","method","Visualization",8,1,7,"352b9a454d1d0559a547147f6840715d3e9b4e80ea372f5d911e6a8f35f10840.grobid.tei"
"9","https://github.com/ebbethke/ed-rainbow-plot","availability","Data Availability Statement:",24,1,1,"352b9a454d1d0559a547147f6840715d3e9b4e80ea372f5d911e6a8f35f10840.grobid.tei"
"10","https://github.com/mapenthusiast/ChatGPT-study","availability","Data Availability Statement:",11,1,1,"6899a42c1dfcd86c1ab0f1a124af689955946f53612d7be83ab4b829d754fc39.grobid.tei"
"11","https://github.com/OpenDSA/Analysis/tree/master/Yusuf/Datasets","availability","Data Availability Statement:",17,1,1,"1cd6bc4fcbaa7c0377aba658752929a601d097dc983e15a054559c4ac30cf03b.grobid.tei"
"12","https://github.com/ed-tech-at/CollectiveGPT","results","CollectiveGPT at ed-tech.app",32,1,4,"65c932240e5809deb71cee99552ddf554568f1c33d4178e719ca48dfb9e4d766.grobid.tei"
"13","https://github.com/etocto/MMU-PER/blob/1dabec6bee421e13f2a89327c79dc37c062d56dc/D_Gobierno","results","Results",29,3,2,"d1d9ff4fbee8ab98bc5b294bc9bd4970e5afde5e05b9602ef70ff2befc40fa6b.grobid.tei"
"14","https://github.com/etocto/MMU-PER/blob/1dabec6bee421e13f2a89327c79dc37c062d56dc/D_Talento","results","Results",29,5,1,"d1d9ff4fbee8ab98bc5b294bc9bd4970e5afde5e05b9602ef70ff2befc40fa6b.grobid.tei"
"15","https://github.com/etocto/MMU-PER/blob/1dabec6bee421e13f2a89327c79dc37c062d56dc/D_Recursos","results","Results",29,7,1,"d1d9ff4fbee8ab98bc5b294bc9bd4970e5afde5e05b9602ef70ff2befc40fa6b.grobid.tei"
"16","https://github.com/etocto/MMU-PER/blob/1dabec6bee421e13f2a89327c79dc37c062d56dc/D_Resultados.xlsx","results","Results",29,9,1,"d1d9ff4fbee8ab98bc5b294bc9bd4970e5afde5e05b9602ef70ff2befc40fa6b.grobid.tei"
"17","https://github.com/etocto/Data-availability---MMU-PE","availability","Data Availability Statement:",35,1,1,"d1d9ff4fbee8ab98bc5b294bc9bd4970e5afde5e05b9602ef70ff2befc40fa6b.grobid.tei"
"18","https://github.com/nicolastorresr/CodeContrast","method","Software Prototype Implementation Phases",30,3,7,"2c3eb4370ca0c66c5ea46474edcdd53f4524360d8caa2ba54d047b2c916281aa.grobid.tei"
"19","https://github.com/nicolastorresr/CodeContrast","availability","Data Availability Statement:",60,1,1,"2c3eb4370ca0c66c5ea46474edcdd53f4524360d8caa2ba54d047b2c916281aa.grobid.tei"
"20","https://github.com/clopezno/libre-gift","intro","Related Works",11,9,1,"25503d71d1d38e7eaf1a8a2c64a864688b3df4a327fc31222902df9b486d1ef9.grobid.tei"
"21","https://github.com/juacas/MoodleQUIZ_template_UVa","intro","Related Works",11,9,2,"25503d71d1d38e7eaf1a8a2c64a864688b3df4a327fc31222902df9b486d1ef9.grobid.tei"
"22","https://github.com/gethvi/moodle-questions","intro","Related Works",11,9,6,"25503d71d1d38e7eaf1a8a2c64a864688b3df4a327fc31222902df9b486d1ef9.grobid.tei"
"23","https://github.com/RobertoIA/PLQuiz","method","Overview of PLQuiz",13,1,2,"25503d71d1d38e7eaf1a8a2c64a864688b3df4a327fc31222902df9b486d1ef9.grobid.tei"
"24","https://github.com/paul-buerkner/brms","method","Methods",30,2,7,"a7497c861fadf2356e4afcd42d1cb1ad01f219e0ab54248da3c9f17bd48d3d8e.grobid.tei"
"25","https://github.com/paul-buerkner/brms","method","Methods",30,2,11,"a7497c861fadf2356e4afcd42d1cb1ad01f219e0ab54248da3c9f17bd48d3d8e.grobid.tei"
"26","https://github.com/stan-dev/stan/wiki/Prior-Choice-Recommendations","method","Methods",30,2,16,"a7497c861fadf2356e4afcd42d1cb1ad01f219e0ab54248da3c9f17bd48d3d8e.grobid.tei"
"27","https://github.com/rvlenth/emmeans","method","Methods",30,3,8,"a7497c861fadf2356e4afcd42d1cb1ad01f219e0ab54248da3c9f17bd48d3d8e.grobid.tei"
"28","https://github.com/ricardophd/cta-pbl-evaluation/blob/main/PBL-assessment-instruments","method","Instruments",14,1,3,"4d2b801742cd2d6fd1904201bce8b55fbf523bd07df80900fe61a007913d8b89.grobid.tei"
"29","https://github.com/ricardophd/cta-pbl-evaluation.git","availability","Data Availability Statement:",70,1,1,"4d2b801742cd2d6fd1904201bce8b55fbf523bd07df80900fe61a007913d8b89.grobid.tei"
"30","https://github.com/fxsjy/jieba","method","Methodology",9,4,13,"25f373a9bc20095bbb70258afcd16663febf23deeddc1d2d9574f42947496039.grobid.tei"
"31","https://github.com/teosusnjak/multimodal-chatgpt-exam-evaluation","method","Comprehensive Multimodal Question Assessment",14,1,3,"da495c609f8d93fa1d2cd423fbe213ed8e3b5424c5c97ae188b1c83eeb2068bb.grobid.tei"
"32","https://github.com/teosusnjak/multimodal-chatgpt-exam-evaluation","availability","Data Availability Statement:",43,1,1,"da495c609f8d93fa1d2cd423fbe213ed8e3b5424c5c97ae188b1c83eeb2068bb.grobid.tei"
"33","https://github.com/amykzhang/visual-scicomm-toolkit-app","discussion","Components of the Visual Science Communication Toolkit",48,6,3,"fa520c4bd6ddcb1d66d0e3191d6980877054135bfffb75343cdf94c8f44c949f.grobid.tei"
"34","https://github.com/amykzhang/visual-scicomm-toolkit-app","discussion","Components of the Visual Science Communication Toolkit",48,7,4,"fa520c4bd6ddcb1d66d0e3191d6980877054135bfffb75343cdf94c8f44c949f.grobid.tei"
"35","https://github.com/amykzhang/visualscicomm-toolkit-app","fig","Figure 7 .",13,1,6,"fa520c4bd6ddcb1d66d0e3191d6980877054135bfffb75343cdf94c8f44c949f.grobid.tei"
"36","https://github.com/amykzhang/visual-scicomm-toolkit-app","fig","Figure 7 .",15,1,6,"fa520c4bd6ddcb1d66d0e3191d6980877054135bfffb75343cdf94c8f44c949f.grobid.tei"
"37","https://github.com/Malmasre/Typography-results.git","availability","Data Availability Statement:",29,1,1,"1a97d218de80ea070a4a80996d9c24cb65c692e1c1bc2b24483433b8da59f97c.grobid.tei"
"38","https://github.com/coursera/coursera_autograder","intro","Related Works",2,4,5,"a34d7dd87458370ff240de585158f46f89b5e37792d01610d2b9cbfaac32a3e8.grobid.tei"
"39","https://github.com/jplag/jplag","method","Plagiarism Detection",8,2,1,"a34d7dd87458370ff240de585158f46f89b5e37792d01610d2b9cbfaac32a3e8.grobid.tei"
"40","https://github.com/matnovak-foi/MPC","method","Plagiarism Detection",8,2,1,"a34d7dd87458370ff240de585158f46f89b5e37792d01610d2b9cbfaac32a3e8.grobid.tei"
"41","https://github.com/githubthank/At-Risk_Prediction","availability","Data Availability Statement:",53,1,2,"5c36ac0dae514ffe8c7b1a8ab84e4972bc9d1ed308a3f6f342e223a840eb07ea.grobid.tei"
"42","https://github.com/e-ucm/uAdventure","intro","Game Learning Analytics Data Collection",24,2,5,"d3a1912f319f8cb51c9470b413b338f5600fbb89ae73f2414d3a5362340f4eea.grobid.tei"
"43","https://github.com/jcpaiva-fgpe/b110a4ad-3596-409e-b17c-90fe013804ed","method","Materials and Methods",3,3,5,"09dbbf7b013a6726fda702b1fc1f6dcfd94c7c70772cc23bd8f2a133430a2feb.grobid.tei"
"44","https://github.com/plotly/react-plotly.js","method","Inputs:",6,10,3,"7c38a0bfc0c6d7cd3b69c89cd9a831e33f8728cc232712de94ef5fbf7062ac79.grobid.tei"
"45","https://github.com/cognitiveux/trustid","method","Feasibility Study of an Intelligent and Continuous Online Student Identity Management System: Implementation and User Evaluation",23,1,3,"e7d7d8fa4337299f0b13980612b6e29e2b795577c4e15a6630275999d104d606.grobid.tei"
"46","https://github.com/cognitiveux/trustid","availability","",30,1,2,"e7d7d8fa4337299f0b13980612b6e29e2b795577c4e15a6630275999d104d606.grobid.tei"
