...1,openalex_id,journal_id,journal_name,doi,publication_year,oa_urls,pdf_download_status,pdf_local_path,tei_process_status,tei_local_path,journal_short,journal_long,osf_links,git_links,osf_links_raw,git_links_raw,has_osf,has_git,all_osf_links,all_git_links,has_any_link,all_osf_links_clean,all_git_links_clean,second_trial_osf,second_trial_git,second_trial_any_link
1,W4414152151,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2536360,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2536360?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/2318cd9a910cd38fc3f69447f9d225bb8ef40e95409b7ac800e780f121db36fe.pdf,DONE,2318cd9a910cd38fc3f69447f9d225bb8ef40e95409b7ac800e780f121db36fe.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
2,W4414126141,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2557711,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2557711?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/ec0c4304f2ccd8c1fb614d8d4087ec9626388addd93eaff65bc7ae693394a13d.pdf,DONE,ec0c4304f2ccd8c1fb614d8d4087ec9626388addd93eaff65bc7ae693394a13d.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
3,W4414126223,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2559448,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2559448?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/f0a2cb61b8f071839420746662a84ecee0c26347bf3526a0141635552b32da13.pdf,DONE,f0a2cb61b8f071839420746662a84ecee0c26347bf3526a0141635552b32da13.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
4,W4414111991,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2554957,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2554957?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/9d09d8aafaeecc627b62b54bcb70451d324bf626efe879843f849f8d49778c71.pdf,DONE,9d09d8aafaeecc627b62b54bcb70451d324bf626efe879843f849f8d49778c71.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
5,W4414088185,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2555738,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2555738?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/15b4a43db2c5e4a116332d7ad48730ce1d79b14c2e905d5040cf15fd04c66578.pdf,DONE,15b4a43db2c5e4a116332d7ad48730ce1d79b14c2e905d5040cf15fd04c66578.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
6,W4414144899,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2556893,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2556893?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/0c325795f5de0557fc8ed283095214e5b967f413ba44ccaaf192b4dbd821cf2d.pdf,DONE,0c325795f5de0557fc8ed283095214e5b967f413ba44ccaaf192b4dbd821cf2d.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
7,W4414145070,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2556890,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2556890?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/584d872eac96f467ac4feb39380c26261c82ad26d87ab0b2d612f5532f8ecde8.pdf,DONE,584d872eac96f467ac4feb39380c26261c82ad26d87ab0b2d612f5532f8ecde8.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
8,W4414067346,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2554314,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2554314?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/18e1e4c04aef19962d0aee9daf46f83ddf09999b98ef8af1ec59ad374951348e.pdf,DONE,18e1e4c04aef19962d0aee9daf46f83ddf09999b98ef8af1ec59ad374951348e.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
9,W4414067613,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2553836,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2553836?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/c3ccd55a6b7b591861e28a0eace83a2bd4bf774ed70627316e59e15fcd484166.pdf,DONE,c3ccd55a6b7b591861e28a0eace83a2bd4bf774ed70627316e59e15fcd484166.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
10,W4414038449,S2764918247,Cogent Education,https://doi.org/10.1080/2331186x.2025.2548648,2025,"{""pdf_links"": [""https://www.tandfonline.com/doi/pdf/10.1080/2331186X.2025.2548648?needAccess=true""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/b63af9a31eee3a96f7a53233ab795b8d7a3bc405e1f9ca457b18f32964a9775a.pdf,DONE,b63af9a31eee3a96f7a53233ab795b8d7a3bc405e1f9ca457b18f32964a9775a.grobid.tei.xml,cog,COGENT EDUCATION,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
