"doi","all_links"
"10.25656/01:11850",""
"10.25656/01:11851",""
"10.25656/01:11852",""
"10.25656/01:11853",""
"10.25656/01:11854",""
"10.25656/01:11855",""
"10.25656/01:11856",""
"10.25656/01:11857",""
"10.25656/01:12300",""
"10.25656/01:12301",""
"10.25656/01:12302",""
"10.25656/01:12303",""
"10.25656/01:12304",""
"10.25656/01:12938",""
"10.25656/01:12939",""
"10.25656/01:12940",""
"10.25656/01:12941",""
"10.25656/01:14997",""
"10.25656/01:14998",""
"10.25656/01:15009",""
"10.25656/01:15010",""
"10.25656/01:15012",""
"10.25656/01:15029",""
"10.25656/01:15157",""
"10.25656/01:15163",""
"10.25656/01:15164",""
"10.25656/01:15172",""
"10.25656/01:14874",""
"10.25656/01:14875",""
"10.25656/01:14876",""
"10.25656/01:14867",""
"10.25656/01:14868",""
"10.25656/01:20167",""
"10.25656/01:20168",""
"10.25656/01:20169",""
"10.25656/01:20170",""
"10.25656/01:20171",""
"10.25656/01:15387",""
"10.25656/01:15388",""
"10.25656/01:15389",""
"10.25656/01:15149",""
"10.25656/01:15395",""
"10.25656/01:15396",""
"10.25656/01:15397",""
"10.25656/01:16778",""
"10.25656/01:16779",""
"10.25656/01:16780",""
"10.25656/01:16781",""
"10.25656/01:16782",""
"10.25656/01:16596",""
"10.25656/01:16599",""
"10.25656/01:16600",""
"10.25656/01:17768",""
"10.25656/01:17769",""
"10.25656/01:17770",""
"10.25656/01:17771",""
"10.25656/01:17772",""
"10.25656/01:17773",""
"10.25656/01:17774",""
"10.25656/01:17775",""
"10.25656/01:17776",""
"10.25656/01:17777",""
"10.25656/01:17778",""
"10.25656/01:17779",""
"10.25656/01:17780",""
"10.25656/01:17781",""
"10.25656/01:17782",""
"10.25656/01:15958",""
"10.25656/01:15959",""
"10.25656/01:15960",""
"10.25656/01:15962",""
"10.25656/01:15961",""
"10.25656/01:16002",""
"10.25656/01:16003",""
"10.25656/01:16005",""
"10.25656/01:12591",""
"10.25656/01:12592",""
"10.25656/01:12593",""
"10.25656/01:12594",""
"10.25656/01:12595",""
"10.25656/01:12607",""
"10.25656/01:18334",""
"10.25656/01:18335",""
"10.25656/01:18336",""
"10.25656/01:18337",""
"10.25656/01:18338",""
"10.25656/01:23568",""
"10.25656/01:23569",""
"10.25656/01:23570",""
"10.25656/01:23571",""
"10.25656/01:23572",""
"10.25656/01:23573",""
"10.25656/01:23574",""
"10.25656/01:23575",""
"10.25656/01:23576",""
"10.25656/01:23577","https://osf.io/s3wyb"
"10.25656/01:26646",""
"10.25656/01:26647",""
"10.25656/01:26648",""
"10.25656/01:26649",""
"10.25656/01:26650",""
"10.25656/01:27181",""
"10.25656/01:27182",""
"10.25656/01:27183",""
"10.25656/01:27184",""
"10.25656/01:27185",""
"10.25656/01:23912",""
"10.25656/01:23913",""
"10.25656/01:23914",""
"10.25656/01:23915",""
"10.25656/01:23916",""
"10.25656/01:24107",""
"10.25656/01:24108",""
"10.25656/01:24109",""
"10.25656/01:24110",""
"10.25656/01:24111",""
"10.25656/01:26394",""
"10.25656/01:26395",""
"10.25656/01:26396",""
"10.25656/01:26397",""
"10.25656/01:26398",""
"10.25656/01:21125",""
"10.25656/01:21126",""
"10.25656/01:21127",""
"10.25656/01:21128",""
"10.25656/01:21129",""
"10.25656/01:21606",""
"10.25656/01:21607",""
"10.25656/01:21608",""
"10.25656/01:21609",""
"10.25656/01:21610",""
"10.25656/01:21611",""
"10.25656/01:21612",""
"10.25656/01:21613",""
"10.25656/01:21614",""
"10.25656/01:21615",""
"10.25656/01:25528",""
"10.25656/01:25529",""
"10.25656/01:25530",""
"10.25656/01:25531",""
"10.25656/01:25532",""
"10.25656/01:25767",""
"10.25656/01:25768",""
"10.25656/01:25769","https://osf.io/62ag8"
"10.25656/01:25770",""
"10.25656/01:25771",""
"10.25656/01:29917;10.2440/003-0012",""
"10.25656/01:29918;10.2440/003-0013",""
"10.25656/01:29919;10.2440/003-0014",""
"10.25656/01:29920;10.2440/003-0015",""
"10.25656/01:29921;10.2440/003-0016",""
"10.25656/01:32220;10.2440/003-0022","https://osf.io/r5gfh/? view_only=d7b3460f582c417fad8fa13944a9b80b; https://osf.io/r5gfh/?"
"10.25656/01:32221;10.2440/003-0023",""
"10.25656/01:32222;10.2440/003-0024",""
"10.25656/01:32223;10.2440/003-0025",""
"10.25656/01:32224;10.2440/003-0026",""
"10.25656/01:32225;10.2440/003-0027",""
"10.25656/01:32226;10.2440/003-0028",""
"10.25656/01:32227;10.2440/003-0029",""
"10.25656/01:32228;10.2440/003-0030",""
"10.25656/01:32229;10.2440/003-0031",""
"10.25656/01:29021;10.2440/003-0001",""
"10.25656/01:29022;10.2440/003-0002","https://osf.io/j76t3"
"10.25656/01:29023;10.2440/003-0003","https://osf.io/b476z"
"10.25656/01:29024;10.2440/003-0004","https://osf.io/c2yd7"
"10.25656/01:29025;10.2440/003-0005",""
"10.25656/01:29026;10.2440/003-0007",""
"10.25656/01:29027;10.2440/003-0008",""
"10.25656/01:29028;10.2440/003-0009",""
"10.25656/01:29029;10.2440/003-0010",""
"10.25656/01:29030;10.2440/003-0011",""
"10.25656/01:30862;10.2440/003-0017",""
