"doi","all_links"
"10.1007/s10648-026-10116-9","https://osf.io/tp2sn"
"10.1007/s10648-025-10103-6","https://osf.io/j4rz6/? view_only=ec3c2084f856488e9d18246affd964d1; https://osf.io/28jtr/? view_only=3850ec1335a3478f8fb5d31096f76279; https://osf.io/kruzw/? view_only=bbef5ded9a834e089b54bd23f9ac342a"
"10.1007/s10648-025-10096-2","https://osf.io/xgaj7; https://osf.io/npqf8"
"10.1007/s10648-025-10094-4","https://osf.io/3qp5s; https://osf.io/ka4nu; https://osf.io/9vg8m"
"10.1007/s10648-025-10081-9","https://osf.io/x3cdq"
"10.1007/s10648-025-10077-5","https://osf.io/yph53; https://osf.io/6xcmd"
"10.1007/s10648-025-10083-7","https://osf.io/9p83z"
"10.1007/s10648-025-10060-0","https://osf.io/vfncg; https://osf.io/vfncg/? view_only=398968b874414f0b9d1cd6b7c4466b76"
"10.1007/s10648-025-10061-z","https://osf.io/gdv8c/? view_only=697ae2c1fb924f27b8e7a99445af7a94"
"10.1007/s10648-025-10050-2","https://osf.io/u8wtg/? view_only=f2d36cc4ed6048a2a4d4243df05eb27b"
"10.1007/s10648-025-10040-4","https://osf.io/ndzpy"
"10.1007/s10648-025-10029-z","https://osf.io/ydfaz/? view_only=fbaee809850f4a048bb6531a945fe328"
"10.1007/s10648-025-10019-1","https://osf.io/qrmyc; https://osf.io/hgs74"
"10.1007/s10648-025-10012-8","https://osf.io/sj6pg"
"10.1007/s10648-025-10017-3","https://osf.io/bfj3z/? view_only=be047b4469c74ae08609827e599beab0"
"10.1007/s10648-025-10011-9","https://osf.io/uv8tn"
"10.1007/s10648-025-10005-7","https://osf.io/62cyz"
"10.1007/s10648-025-10008-4","https://osf.io/9sbvh"
"10.1007/s10648-025-09990-6","https://osf.io/ukv7b"
"10.1007/s10648-025-10000-y","https://osf.io/qbctd"
"10.1007/s10648-025-09993-3","https://osf.io/a7t4b"
"10.1007/s10648-024-09981-z","https://osf.io/qz7fy; https://osf. io/ qz7fy"
"10.1007/s10648-024-09978-8","https://osf.io/c7bjx/? view_only=daf17411033641d7be1ef231e5a8b3aa"
"10.1007/s10648-024-09982-y","https://osf.io/7ygc5"
"10.1007/s10648-024-09980-0","https://osf.io/tpxu9"
"10.1007/s10648-024-09968-w","https://osf.io/r5uew"
"10.1007/s10648-024-09967-x","https://osf.io/hqckb/? view_only=f40b30fecdb74b14813a9185fcc87d3a"
"10.1007/s10648-024-09965-z","https://osf.io/h85s9"
"10.1007/s10648-024-09951-5","https://osf.io/tqyvp; https://osf.io/428vd"
"10.1007/s10648-024-09956-0","https://osf.io/x5prv; https://osf.io/yu7v8"
"10.1007/s10648-024-09898-7","https://osf.io/nhx4w"
"10.1007/s10648-024-09943-5","https://osf.io/beu6h/? view_only=b463289949aa413a936f8349ab2a702a"
"10.1007/s10648-024-09936-4","https://osf.io/u52w9; https://osf.io/xsq78"
"10.1007/s10648-024-09925-7","https://osf.io/zyt4b"
"10.1007/s10648-024-09903-z","https://osf.io/u4dgt; https://osf.io/hc5fk"
"10.1007/s10648-024-09886-x","https://osf.io/4r6pf"
"10.1007/s10648-024-09902-0","https://osf.io/hs3pk/? view_only=b3ec5b34fc3f4a55b6df63419d06493b"
"10.1007/s10648-024-09861-6","https://osf.io/rwz3f"
"10.1007/s10648-024-09889-8","https://osf.io/xqb4h"
"10.1007/s10648-024-09884-z","https://osf.io/2d5ua"
"10.1007/s10648-024-09864-3","https://osf.io/wrxts/? view_only=abf34b8a6dfe490fa549d2387e7ed896"
"10.1007/s10648-024-09862-5","https://osf.io/uyb7x/? view_only=74640e4eb7d146f68eb5c7738823ac9f; https://osf.io/uyb7x"
"10.1007/s10648-024-09853-6","https://osf.io/z8n3a"
"10.1007/s10648-023-09830-5","https://osf.io/a97gv/? view_only=73f3249ac61f4b618415d3116e1b164f"
"10.1007/s10648-023-09826-1","https://osf.io/gft4b"
"10.1007/s10648-023-09797-3","https://osf.io/5uzbq"
"10.1007/s10648-023-09786-6","https://osf.io/742wz"
"10.1007/s10648-023-09779-5","https://osf.io/q2p74"
"10.1007/s10648-023-09760-2","https://osf.io/uvpb4; https://osf.io/uz258"
"10.1007/s10648-023-09761-1","https://osf.io/vugkw"
"10.1007/s10648-023-09752-2","https://osf.io/jyw5z; https://osf.io/ehjc3"
"10.1007/s10648-023-09733-5","https://osf.io/qdcna"
"10.1007/s10648-023-09753-1","https://osf.io/k3myg/? view_only=d950e2a45c7245efa01e181556a668ec"
"10.1007/s10648-023-09716-6","https://osf.io/g72nt/? view_only=d80b63e8c4084bd28629ed9a81414df8; https://osf.io/g72nt/? view_only=52ce948b5cad4adc892ed3e6996b73d8"
"10.1007/s10648-023-09736-2","https://osf.io/8h6wd; https://osf. io/ 8h6wd"
"10.1007/s10648-022-09692-3","https://osf.io/u6es8"
"10.1007/s10648-022-09677-2","https://osf.io/7u9pa"
"10.1007/s10648-021-09630-9","https://osf.io/w9j3u; https://osf.io/juzfg"
"10.1007/s10648-021-09618-5","https://osf.io/73pmb"
"10.1007/s10648-021-09622-9","https://osf.io/r538u; https://osf.io/49ue2"
"10.1007/s10648-021-09601-0","https://osf.io/tszeg/? view_only=1a886695ede2418f95c036ff12294621; https://osf.io/tszeg/? view_only=c8cd393f16484c0eb8fffba903a13936"
