"doi","all_links"
"10.3389/feduc.2025.1714973",""
"10.3389/feduc.2026.1701597",""
"10.3389/feduc.2026.1754136",""
"10.3389/feduc.2025.1727346",""
"10.3389/feduc.2025.1716824","https://github.com/marcoburbanopulles/statistical-data-processing.git"
"",""
"10.3389/feduc.2025.1693308",""
"",""
"10.3389/feduc.2025.1742975",""
"10.3389/feduc.2026.1733781",""
"10.3389/feduc.2025.1708167",""
"10.3389/feduc.2025.1723087",""
"10.3389/feduc.2025.1662602",""
"10.3389/feduc.2025.1750909",""
"10.3389/feduc.2025.1713395",""
"",""
"10.3389/feduc.2025.1697992",""
"",""
"10.3389/feduc.2025.1703538",""
"10.3389/feduc.2025.1686142",""
"10.3389/feduc.2025.1711393",""
"10.3389/feduc.2025.1700500",""
"10.3389/feduc.2025.1728070",""
"10.3389/feduc.2025.1741457","https://osf.io/s2d5x; https://osf.io/yj9md?"
"10.3389/feduc.2025.1683580",""
"10.3389/feduc.2025.1703439",""
"10.3389/feduc.2025.1715123",""
"10.3389/feduc.2025.1619566",""
"10.3389/feduc.2025.1742339",""
"10.3389/feduc.2025.1686368",""
"10.3389/feduc.2025.1739710",""
"10.3389/feduc.2025.1683909",""
"10.3389/feduc.2025.1688568",""
"10.3389/feduc.2025.1737185",""
"10.3389/feduc.2025.1719693",""
"",""
"10.3389/feduc.2025.1670492",""
"10.3389/feduc.2025.1750880",""
"10.3389/feduc.2025.1645911",""
"10.3389/feduc.2025.1720636",""
"10.3389/feduc.2025.1713352",""
"10.3389/feduc.2025.1667060",""
"10.3389/feduc.2025.1711539",""
"",""
"10.3389/feduc.2025.1743129",""
"",""
"10.3389/feduc.2025.1742910",""
"10.3389/feduc.2025.1671097",""
"10.3389/feduc.2025.1657651","https://osf.io/vmwzq"
"10.3389/feduc.2025.1707419",""
"",""
"10.3389/feduc.2025.1720334",""
"10.3389/feduc.2025.1694560",""
"10.3389/feduc.2025.1690799",""
"10.3389/feduc.2025.1681007",""
"10.3389/feduc.2025.1702695",""
"10.3389/feduc.2025.1718183",""
"",""
"10.3389/feduc.2025.1736446",""
"10.3389/feduc.2025.1733922",""
"10.3389/feduc.2025.1718038",""
"10.3389/feduc.2025.1717902",""
"10.3389/feduc.2025.1736655",""
"10.3389/feduc.2025.1650687",""
"",""
"10.3389/feduc.2025.1681836",""
"10.3389/feduc.2025.1735860",""
"10.3389/feduc.2025.1701644",""
"10.3389/feduc.2025.1669000",""
"10.3389/feduc.2025.1728497",""
"10.3389/feduc.2025.1687152",""
"10.3389/feduc.2025.1731080","https://osf.io/pnw5e"
"10.3389/feduc.2025.1611163",""
"10.3389/feduc.2025.1635518",""
"10.3389/feduc.2025.1676900",""
"10.3389/feduc.2025.1698998",""
"10.3389/feduc.2025.1685904",""
"10.3389/feduc.2025.1732650",""
"10.3389/feduc.2025.1676842",""
"10.3389/feduc.2025.1671306",""
"10.3389/feduc.2025.1694082",""
"10.3389/feduc.2025.1711718",""
"10.3389/feduc.2025.1690636",""
"10.3389/feduc.2025.1717126",""
"10.3389/feduc.2025.1717404",""
"10.3389/feduc.2025.1694161",""
"10.3389/feduc.2025.1678808",""
"10.3389/feduc.2025.1676731",""
"10.3389/feduc.2025.1689514","https://osf.io/j58g3/? view_only=85b0b29645654562a8e4c720ec4a43fa; https://osf.io/j58g3"
"10.3389/feduc.2025.1665037",""
"",""
"10.3389/feduc.2025.1720224",""
"10.3389/feduc.2025.1715294",""
"10.3389/feduc.2025.1686270",""
"10.3389/feduc.2025.1715885",""
"10.3389/feduc.2025.1719073",""
"10.3389/feduc.2025.1686878",""
"10.3389/feduc.2025.1731307",""
"10.3389/feduc.2025.1710081",""
"10.3389/feduc.2025.1738751",""
"10.3389/feduc.2025.1641993",""
"10.3389/feduc.2025.1668861",""
"10.3389/feduc.2025.1583695",""
"10.3389/feduc.2025.1708935",""
"10.3389/feduc.2025.1703351",""
"10.3389/feduc.2025.1625433",""
"10.3389/feduc.2025.1678998",""
"10.3389/feduc.2025.1683140",""
"10.3389/feduc.2025.1677727",""
"10.3389/feduc.2025.1700056",""
"10.3389/feduc.2025.1707534",""
"10.3389/feduc.2025.1673932",""
"10.3389/feduc.2025.1682669",""
"10.3389/feduc.2025.1613861",""
"10.3389/feduc.2025.1708139",""
"10.3389/feduc.2025.1671827",""
"10.3389/feduc.2025.1721104",""
"10.3389/feduc.2025.1662562",""
"10.3389/feduc.2025.1678732",""
"10.3389/feduc.2025.1698553",""
"10.3389/feduc.2025.1703099",""
"10.3389/feduc.2025.1726243",""
"10.3389/feduc.2025.1720307",""
"10.3389/feduc.2025.1646036",""
"10.3389/feduc.2025.1679657",""
"10.3389/feduc.2025.1542263",""
"10.3389/feduc.2025.1686408",""
"",""
"10.3389/feduc.2025.1664069",""
"10.3389/feduc.2025.1695386",""
"10.3389/feduc.2025.1692998",""
"10.3389/feduc.2025.1697203",""
"10.3389/feduc.2025.1659982",""
"10.3389/feduc.2025.1711325",""
"10.3389/feduc.2025.1635554",""
"",""
"10.3389/feduc.2025.1713822",""
"10.3389/feduc.2025.1661526",""
"10.3389/feduc.2025.1706425",""
"10.3389/feduc.2025.1729067",""
"10.3389/feduc.2025.1697114",""
"10.3389/feduc.2025.1722796",""
"10.3389/feduc.2025.1572933",""
"",""
"10.3389/feduc.2025.1668260",""
"10.3389/feduc.2025.1727242",""
"10.3389/feduc.2025.1621644",""
"10.3389/feduc.2025.1653820",""
"",""
"10.3389/feduc.2025.1642384",""
"10.3389/feduc.2025.1646970",""
"10.3389/feduc.2025.1713271",""
"",""
"10.3389/feduc.2025.1658894",""
"10.3389/feduc.2025.1691247",""
"10.3389/feduc.2025.1661496",""
"10.3389/feduc.2025.1671056",""
"10.3389/feduc.2025.1691569",""
"",""
"10.3389/feduc.2025.1706135",""
"10.3389/feduc.2025.1717388",""
"10.3389/feduc.2025.1684397",""
"",""
"",""
"",""
"10.3389/feduc.2025.1719345",""
"10.3389/feduc.2025.1674401",""
"10.3389/feduc.2025.1668870",""
"10.3389/feduc.2025.1667884",""
"10.3389/feduc.2025.1660370",""
"10.3389/feduc.2025.1675991",""
"10.3389/feduc.2025.1709370",""
"",""
"10.3389/feduc.2025.1720919",""
"10.3389/feduc.2025.1694663",""
"10.3389/feduc.2025.1596597",""
"10.3389/feduc.2025.1715760",""
"10.3389/feduc.2025.1679669","https://osf.io/ywjnh"
"",""
"10.3389/feduc.2025.1685826",""
"",""
"10.3389/feduc.2025.1635686",""
"",""
"10.3389/feduc.2025.1672076",""
"10.3389/feduc.2025.1673150",""
"10.3389/feduc.2025.1676722",""
"10.3389/feduc.2025.1640545",""
"10.3389/feduc.2025.1716619",""
"10.3389/feduc.2025.1671710",""
"10.3389/feduc.2025.1705676",""
"10.3389/feduc.2025.1718475",""
"10.3389/feduc.2025.1714342",""
"",""
"10.3389/feduc.2025.1671079",""
"10.3389/feduc.2025.1719577",""
"10.3389/feduc.2025.1475365",""
"10.3389/feduc.2025.1664939",""
"10.3389/feduc.2025.1611730",""
"10.3389/feduc.2025.1713933",""
"10.3389/feduc.2025.1698505",""
"10.3389/feduc.2025.1703144",""
"10.3389/feduc.2025.1657999",""
"",""
"10.3389/feduc.2025.1709849",""
"10.3389/feduc.2025.1711832",""
"10.3389/feduc.2025.1675912",""
"10.3389/feduc.2025.1691044",""
"10.3389/feduc.2025.1719199",""
"10.3389/feduc.2025.1681129",""
"10.3389/feduc.2025.1706241",""
"10.3389/feduc.2025.1531214",""
"10.3389/feduc.2025.1657822","https://osf.io/ga6bm"
"10.3389/feduc.2025.1683810",""
"10.3389/feduc.2025.1570438",""
"10.3389/feduc.2025.1683845",""
"10.3389/feduc.2025.1715688",""
"10.3389/feduc.2025.1688396",""
"10.3389/feduc.2025.1619873",""
"10.3389/feduc.2025.1695771",""
"10.3389/feduc.2025.1682152",""
"10.3389/feduc.2025.1631036",""
"10.3389/feduc.2025.1601508",""
"10.3389/feduc.2025.1698274",""
"10.3389/feduc.2025.1669123",""
"10.3389/feduc.2025.1708057",""
"10.3389/feduc.2025.1702583",""
"10.3389/feduc.2025.1677255",""
"10.3389/feduc.2025.1696403",""
"10.3389/feduc.2025.1679857",""
"10.3389/feduc.2025.1508751",""
"10.3389/feduc.2025.1687664",""
"10.3389/feduc.2025.1687664",""
