"openalex_id";"journal_id";"journal_name";"doi";"publication_year";"oa_urls";"tei_id";"journal_short";"journal_long";"has_osf";"has_git";"all_osf_links";"all_git_links";"has_any_link"
"W7127601163";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01375-x";2026;"{""pdf_links"": [""https://doi.org/10.1007/s11618-026-01375-x""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7127106307";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01370-2";2026;"{""pdf_links"": [""https://doi.org/10.1007/s11618-026-01370-2""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7127151700";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01377-9";2026;"{""pdf_links"": [""https://doi.org/10.1007/s11618-026-01377-9""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7127189748";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01383-x";2026;"{""pdf_links"": [""https://doi.org/10.1007/s11618-026-01383-x""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7125527426";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01372-0";2026;"{""pdf_links"": [""https://doi.org/10.1007/s11618-026-01372-0""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4412757263";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01321-3";2025;"{""pdf_links"": [""https://doi.org/10.1007/s11618-025-01321-3""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4291692394";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-022-01118-8";2022;"{""pdf_links"": [""https://doi.org/10.1007/s11618-022-01118-8""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4291693548";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-022-01115-x";2022;"{""pdf_links"": [""https://doi.org/10.1007/s11618-022-01115-x""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W3134726201";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-021-01002-x";2021;"{""pdf_links"": [""https://doi.org/10.1007/s11618-021-01002-x""]}";NA;"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7126255550";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01378-8";2026;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-026-01378-8.pdf""]}";"1d46f1ecd4e0c84b7de37a6b0979a9a0c94787b4a1056cb2016cf2109594a007.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7125964210";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-026-01374-y";2026;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-026-01374-y.pdf""]}";"12645387ba31c3108832c07c1878962fb2329e961837070cf1bacd3d0c46b8c2.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7125409980";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01369-1";2026;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01369-1.pdf""]}";"53139b5237df82999b0767b68e38e0504711ba120c48c8fe350dce1824831778.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7124217693";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01368-2";2026;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01368-2.pdf""]}";"b96f4873ab370a756a705941ae8c1a31c99a31f881026e5f667fa178ab81af14.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7122765614";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01366-4";2026;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01366-4.pdf""]}";"8528dcff844bf32b024354cdc492705c8aac8ab4db1e7e4a99917d5b140fb1bc.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W7118176152";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01363-7";2026;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01363-7.pdf""]}";"78ddc871c29c879c5172f938830ebb1a99fbca17820b88907cd457a309880f20.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4417455967";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01364-6";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01364-6.pdf""]}";"f4e957753e66d90eb1ec7b471e9e8300253eb16b3b8a8d91f841fe76f7e00ba2.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4416915499";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01357-5";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01357-5.pdf""]}";"7dbdd3c482c1cd5e11fa6abdb44bdeb887f832ac2fe56702f192a153d783faa3.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4417187233";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01359-3";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01359-3.pdf""]}";"d736d2a303d8085d6659839a142bfe8cc1a033429e9ca2b1e01f16b3d737bf6f.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4416712486";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01361-9";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01361-9.pdf""]}";"17bfa15aa6e1c52272c5a58ded6a1bc267f175a487c856c150ee9793b7524ae5.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4416712491";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01362-8";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01362-8.pdf""]}";"6ae866fb9e13640945b8218f6aa4c9d2e5761f5487240e0dc813ec14aa19df87.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4416313477";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01360-w";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01360-w.pdf""]}";"a70fa060ff8a826f6790bfea4bb590896b2641d3f004ee0ddbdd8a565f11cb4c.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";TRUE;FALSE;"osf.io/b6hxe";"";TRUE
"W4416124817";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01356-6";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01356-6.pdf""]}";"3b24d9b97bd4b871296efc466ff77cd2d9e6b72d68f857924a11c435ca7bd876.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
"W4416087017";"S40639335";"Zeitschrift für Erziehungswissenschaft";"10.1007/s11618-025-01358-4";2025;"{""pdf_links"": [""https://link.springer.com/content/pdf/10.1007/s11618-025-01358-4.pdf"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC12705722/pdf/11618_2025_Article_1358.pdf""]}";"e99a90e2b30b59ccb528c9fd9ee2a4d26a86dea592755a20ebfb286ff242496b.grobid.tei.xml";"ze";"Zeitschrift für Erziehungswissenschaften";FALSE;FALSE;"";"";FALSE
