"doi","all_links"
"https://link.springer.com/article/10.1007/s11618-025-01360-w","https://osf.io/b6hxe"
"https://link.springer.com/article/10.1007/s11618-025-01309-z","https://osf.io/32mqt"
"https://link.springer.com/article/10.1007/s11618-024-01251-6","https://osf.io/qh8sk"
"https://link.springer.com/article/10.1007/s11618-024-01241-8","https://osf.io/eqrcp"
"https://link.springer.com/article/10.1007/s11618-024-01219-6","https://osf.io/yc4z9"
"https://link.springer.com/article/10.1007/s11618-023-01210-7","https://osf.io/hf4t9"
"https://link.springer.com/article/10.1007/s11618-023-01204-5","https://osf.io/x75zk/? view_only=83fdf10c74ed4a84843b8b13f53cf25f"
"https://link.springer.com/article/10.1007/s11618-023-01182-8","https://osf.io/bhq3p; https://osf.io/84kdr; https://osf.io/2q4wz"
"https://link.springer.com/article/10.1007/s11618-023-01177-5","https://osf.io/znmsu"
"https://link.springer.com/article/10.1007/s11618-023-01147-x","https://osf.io/qtg5j"
"https://link.springer.com/article/10.1007/s11618-023-01140-4","https://osf.io/gr872"
"https://link.springer.com/article/10.1007/s11618-022-01137-5","https://osf.io/xdezb/? view_only=f0e1a2f12e654872baba8ef40afcbd7a; https://osf.io/jynpz?"
"https://link.springer.com/article/10.1007/s11618-022-01119-7","https://osf.io/7ebfp/? view_only=b1ac5ecdb43a4320bf91967e27dd5d87"
"https://link.springer.com/article/10.1007/s11618-022-01108-w","https://osf.io/uejs7"
"https://link.springer.com/article/10.1007/s11618-022-01093-0","https://osf.io/qyhaz/? view_only=ac0af5cb9cf140699f19f6884c5cc01d"
"https://link.springer.com/article/10.1007/s11618-022-01090-3","https://osf.io/qxsjv"
"https://link.springer.com/article/10.1007/s11618-022-01076-1","https://osf.io/snqp2"
"https://link.springer.com/article/10.1007/s11618-022-01074-3","https://github.com/bmabey/pyldavis"
"https://link.springer.com/article/10.1007/s11618-021-01063-y","https://osf.io/9ae2r; https://osf.io/c5j96"
"https://link.springer.com/article/10.1007/s11618-021-01011-w","https://osf.io/86upz"
"https://link.springer.com/article/10.1007/s11618-020-00980-8","https://osf.io/h8m7a"
